CustomerID,Order Date,Order Month,Food Category,Item,Unit Ordered,,Unit Price (in Rs),Area,Total Amount,Profile
CUST226,10/1/2024,October,Non-Veg,Chicken Wrap ,1,Other,150,Tirupati,150,Employed
CUST120,10/1/2024,October,Veg,Aloo Gobi ,3,Cury,150,Tirupati,450,Student
CUST063,10/1/2024,October,Veg,Chole ,2,Cury,200,Tirupati,400,Student
CUST235,10/1/2024,October,Veg,Aloo Gobi ,1,Cury,150,Visakhapatnam,150,Student
CUST068,10/1/2024,October,Non-Veg,Egg Curry ,1,Cury,200,Rajahmundry,200,Student
CUST213,10/1/2024,October,Veg,Malai Kofta ,3,Cury,250,Vijayawada,750,Student
CUST007,10/1/2024,October,Non-Veg,Chicken Wrap ,3,Other,150,Vijayawada,450,Student
CUST224,10/1/2024,October,Non-Veg,Egg Curry ,1,Cury,200,Visakhapatnam,200,Employed
CUST267,10/1/2024,October,Veg,Masala Dosa ,1,Other,150,Guntur,150,Employed
CUST023,10/1/2024,October,Non-Veg,Chicken Wrap ,3,Other,150,Visakhapatnam,450,Employed
CUST132,10/1/2024,October,Veg,Vegetable Korma ,2,Cury,250,Tirupati,500,Student
CUST003,10/1/2024,October,Non-Veg,Kadai Chicken ,2,Cury,300,Vijayawada,600,Employed
CUST231,10/1/2024,October,Veg,Paneer Butter Masala ,2,Cury,250,Rajahmundry,500,Employed
CUST074,10/1/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Rajahmundry,300,Employed
CUST240,10/1/2024,October,Veg,Dal Tadka ,1,Cury,200,Guntur,200,Employed
CUST255,10/1/2024,October,Veg,Vegetable Korma ,3,Cury,250,Visakhapatnam,750,Student
CUST087,10/1/2024,October,Non-Veg,Prawns Fry ,1,Cury,400,Visakhapatnam,400,Employed
CUST205,10/1/2024,October,Veg,Bhindi Masala ,1,Cury,200,Visakhapatnam,200,Student
CUST096,10/1/2024,October,Non-Veg,Mutton Curry ,3,Cury,400,Vijayawada,1200,Student
CUST148,10/1/2024,October,Veg,Bhindi Masala ,1,Cury,200,Guntur,200,Student
CUST179,10/1/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Vijayawada,250,Student
CUST035,10/1/2024,October,Non-Veg,Egg Curry ,2,Cury,200,Rajahmundry,400,Student
CUST251,10/1/2024,October,Veg,Vegetable Korma ,1,Cury,250,Guntur,250,Employed
CUST087,10/1/2024,October,Veg,Veg Sandwich ,2,Other,100,Rajahmundry,200,Employed
CUST001,10/1/2024,October,Non-Veg,Mutton Curry ,3,Cury,400,Rajahmundry,1200,Student
CUST145,10/1/2024,October,Veg,Paneer Tikka Masala ,2,Cury,250,Rajahmundry,500,Employed
CUST270,10/1/2024,October,Veg,Chole ,2,Cury,200,Rajahmundry,400,Employed
CUST181,10/1/2024,October,Veg,Veg Biryani ,2,Cury,250,Guntur,500,Employed
CUST254,10/1/2024,October,Non-Veg,Rogan Josh ,2,Cury,350,Tirupati,700,Employed
CUST235,10/1/2024,October,Veg,Baingan Bharta ,2,Cury,200,Rajahmundry,400,Student
CUST264,10/1/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Vijayawada,250,Employed
CUST174,10/1/2024,October,Non-Veg,Mutton Curry ,2,Cury,400,Rajahmundry,800,Student
CUST236,10/1/2024,October,Non-Veg,Chicken Wrap ,6,Other,150,Guntur,900,Employed
CUST275,10/1/2024,October,Veg,Dal Tadka ,1,Cury,200,Tirupati,200,Employed
CUST089,10/1/2024,October,Veg,Pav Bhaji ,3,Other,200,Rajahmundry,600,Employed
CUST101,10/1/2024,October,Veg,Dal Tadka ,1,Cury,200,Guntur,200,Student
CUST213,10/1/2024,October,Non-Veg,Fish Curry ,2,Cury,350,Guntur,700,Student
CUST003,10/1/2024,October,Non-Veg,Egg Curry ,2,Cury,200,Vijayawada,400,Employed
CUST189,10/1/2024,October,Non-Veg,Fish Curry ,2,Cury,350,Guntur,700,Student
CUST161,10/1/2024,October,Non-Veg,Fish Curry ,1,Cury,350,Tirupati,350,Employed
CUST020,10/1/2024,October,Non-Veg,Prawns Fry ,2,Cury,400,Visakhapatnam,800,Student
CUST029,10/1/2024,October,Veg,Vegetable Korma ,2,Cury,250,Tirupati,500,Student
CUST001,10/1/2024,October,Veg,Dal Makhani ,1,Cury,200,Vijayawada,200,Student
CUST304,10/1/2024,October,Non-Veg,Mutton Curry ,2,Cury,400,Tirupati,800,Student
CUST042,10/1/2024,October,Veg,Aloo Gobi ,1,Cury,150,Rajahmundry,150,Employed
CUST109,10/1/2024,October,Veg,Baingan Bharta ,2,Cury,200,Visakhapatnam,400,Employed
CUST235,10/1/2024,October,Non-Veg,Rogan Josh ,1,Cury,350,Guntur,350,Student
CUST254,10/1/2024,October,Non-Veg,Kadai Chicken ,1,Cury,300,Guntur,300,Employed
CUST315,10/1/2024,October,Veg,Chole ,1,Cury,200,Rajahmundry,200,Employed
CUST137,10/1/2024,October,Veg,Veg Biryani ,1,Cury,250,Visakhapatnam,250,Student
CUST136,10/1/2024,October,Veg,Pav Bhaji ,7,Other,200,Rajahmundry,1400,Student
CUST136,10/1/2024,October,Veg,Chole ,2,Cury,200,Tirupati,400,Student
CUST024,10/1/2024,October,Veg,Bhindi Masala ,2,Cury,200,Vijayawada,400,Student
CUST318,10/1/2024,October,Veg,Paneer Butter Masala ,2,Cury,250,Tirupati,500,Employed
CUST177,10/1/2024,October,Non-Veg,Mutton Biryani ,3,Other,410,Tirupati,1230,Student
CUST062,10/1/2024,October,Veg,Dal Makhani ,2,Cury,200,Tirupati,400,Student
CUST031,10/1/2024,October,Veg,Dal Makhani ,2,Cury,200,Visakhapatnam,400,Employed
CUST238,10/1/2024,October,Veg,Bhindi Masala ,2,Cury,200,Guntur,400,Student
CUST068,10/1/2024,October,Veg,Veg Sandwich ,3,Other,100,Guntur,300,Student
CUST299,10/1/2024,October,Veg,Dal Tadka ,1,Cury,200,Tirupati,200,Employed
CUST094,10/1/2024,October,Veg,Aloo Gobi ,1,Cury,150,Rajahmundry,150,Student
CUST209,10/1/2024,October,Veg,Chole ,2,Cury,200,Tirupati,400,Employed
CUST335,10/1/2024,October,Veg,Vegetable Korma ,1,Cury,250,Vijayawada,250,Employed
CUST540,10/1/2024,October,Veg,Veg Biryani ,2,Cury,250,Vijayawada,500,Employed
CUST181,10/1/2024,October,Veg,Veg Biryani ,2,Cury,250,Visakhapatnam,500,Employed
CUST312,10/1/2024,October,Veg,Paneer Butter Masala ,2,Cury,250,Guntur,500,Student
CUST102,10/1/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Rajahmundry,300,Student
CUST227,10/1/2024,October,Veg,Dal Tadka ,2,Cury,200,Rajahmundry,400,Student
CUST026,10/1/2024,October,Non-Veg,Mutton Curry ,2,Cury,400,Vijayawada,800,Employed
CUST315,10/1/2024,October,Veg,Pav Bhaji ,2,Other,200,Guntur,400,Employed
CUST129,10/1/2024,October,Non-Veg,Chicken Biryani ,4,Other,300,Visakhapatnam,1200,Student
CUST048,10/1/2024,October,Veg,Aloo Gobi ,2,Cury,150,Vijayawada,300,Student
CUST057,10/1/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Visakhapatnam,250,Employed
CUST301,10/1/2024,October,Veg,Masala Dosa ,2,Other,150,Guntur,300,Employed
CUST267,10/1/2024,October,Non-Veg,Rogan Josh ,2,Cury,350,Rajahmundry,700,Employed
CUST315,10/1/2024,October,Veg,Vegetable Korma ,1,Cury,250,Vijayawada,250,Employed
CUST003,10/1/2024,October,Veg,Baingan Bharta ,1,Cury,200,Rajahmundry,200,Employed
CUST137,10/1/2024,October,Veg,Masala Dosa ,4,Other,150,Guntur,600,Student
CUST149,10/1/2024,October,Veg,Baingan Bharta ,2,Cury,200,Visakhapatnam,400,Student
CUST286,10/1/2024,October,Veg,Bhindi Masala ,3,Cury,200,Tirupati,600,Student
CUST299,10/1/2024,October,Veg,Chole ,1,Cury,200,Vijayawada,200,Employed
CUST197,10/1/2024,October,Non-Veg,Mutton Biryani ,8,Other,410,Tirupati,3280,Student
CUST316,10/1/2024,October,Veg,Veg Biryani ,2,Cury,250,Vijayawada,500,Employed
CUST165,10/1/2024,October,Veg,Pav Bhaji ,4,Other,200,Tirupati,800,Employed
CUST183,10/1/2024,October,Veg,Chole ,1,Cury,200,Rajahmundry,200,Student
CUST027,10/1/2024,October,Veg,Bhindi Masala ,2,Cury,200,Tirupati,400,Employed
CUST255,10/2/2024,October,Veg,Vegetable Korma ,2,Cury,250,Tirupati,500,Student
CUST099,10/2/2024,October,Non-Veg,Chicken Biryani ,7,Other,300,Visakhapatnam,2100,Student
CUST006,10/2/2024,October,Veg,Veg Biryani ,2,Cury,250,Vijayawada,500,Student
CUST208,10/2/2024,October,Non-Veg,Chicken Biryani ,3,Other,300,Vijayawada,900,Student
CUST321,10/2/2024,October,Veg,Masala Dosa ,6,Other,150,Tirupati,900,Employed
CUST133,10/2/2024,October,Non-Veg,Chicken Biryani ,3,Other,300,Guntur,900,Student
CUST183,10/2/2024,October,Veg,Aloo Gobi ,3,Cury,150,Rajahmundry,450,Student
CUST008,10/2/2024,October,Veg,Vegetable Korma ,1,Cury,250,Visakhapatnam,250,Employed
CUST026,10/2/2024,October,Veg,Paneer Tikka Masala ,2,Cury,250,Visakhapatnam,500,Employed
CUST272,10/2/2024,October,Non-Veg,Fish Curry ,1,Cury,350,Rajahmundry,350,Student
CUST042,10/2/2024,October,Veg,Vegetable Korma ,1,Cury,250,Visakhapatnam,250,Employed
CUST093,10/2/2024,October,Non-Veg,Fish Curry ,1,Cury,350,Rajahmundry,350,Employed
CUST212,10/2/2024,October,Non-Veg,Mutton Curry ,1,Cury,400,Visakhapatnam,400,Employed
CUST312,10/2/2024,October,Non-Veg,Chicken Biryani ,4,Other,300,Tirupati,1200,Student
CUST036,10/2/2024,October,Veg,Aloo Gobi ,2,Cury,150,Visakhapatnam,300,Employed
CUST077,10/2/2024,October,Non-Veg,Fish Curry ,2,Cury,350,Rajahmundry,700,Employed
CUST249,10/2/2024,October,Non-Veg,Egg Curry ,1,Cury,200,Guntur,200,Student
CUST292,10/2/2024,October,Veg,Masala Dosa ,5,Other,150,Tirupati,750,Employed
CUST124,10/2/2024,October,Non-Veg,Fish Curry ,1,Cury,350,Guntur,350,Employed
CUST311,10/2/2024,October,Veg,Vegetable Korma ,2,Cury,250,Visakhapatnam,500,Student
CUST130,10/2/2024,October,Veg,Bhindi Masala ,1,Cury,200,Vijayawada,200,Employed
CUST207,10/2/2024,October,Veg,Veg Manchurian ,1,Cury,200,Visakhapatnam,200,Student
CUST037,10/2/2024,October,Non-Veg,Kadai Chicken ,2,Cury,300,Tirupati,600,Student
CUST026,10/2/2024,October,Veg,Aloo Paratha ,6,Other,150,Tirupati,900,Employed
CUST152,10/2/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Tirupati,300,Employed
CUST297,10/2/2024,October,Non-Veg,Rogan Josh ,3,Cury,350,Guntur,1050,Student
CUST191,10/2/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Guntur,250,Employed
CUST036,10/2/2024,October,Veg,Vegetable Korma ,1,Cury,250,Guntur,250,Employed
CUST119,10/2/2024,October,Veg,Bhindi Masala ,3,Cury,200,Tirupati,600,Employed
CUST208,10/2/2024,October,Veg,Pav Bhaji ,5,Other,200,Visakhapatnam,1000,Student
CUST168,10/2/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Tirupati,250,Employed
CUST222,10/2/2024,October,Non-Veg,Mutton Biryani ,4,Other,410,Vijayawada,1640,Employed
CUST226,10/2/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Guntur,300,Employed
CUST244,10/2/2024,October,Non-Veg,Chicken Korma ,2,Cury,300,Rajahmundry,600,Employed
CUST024,10/2/2024,October,Veg,Dal Tadka ,1,Cury,200,Vijayawada,200,Student
CUST265,10/2/2024,October,Veg,Aloo Gobi ,2,Cury,150,Visakhapatnam,300,Student
CUST059,10/2/2024,October,Veg,Aloo Gobi ,2,Cury,150,Tirupati,300,Student
CUST224,10/2/2024,October,Non-Veg,Chicken Wrap ,5,Other,150,Vijayawada,750,Employed
CUST159,10/2/2024,October,Veg,Veg Sandwich ,4,Other,100,Visakhapatnam,400,Employed
CUST034,10/2/2024,October,Veg,Pav Bhaji ,7,Other,200,Visakhapatnam,1400,Student
CUST149,10/2/2024,October,Veg,Paneer Butter Masala ,3,Cury,250,Visakhapatnam,750,Student
CUST213,10/2/2024,October,Non-Veg,Mutton Curry ,2,Cury,400,Guntur,800,Student
CUST244,10/2/2024,October,Veg,Veg Sandwich ,1,Other,100,Rajahmundry,100,Employed
CUST013,10/2/2024,October,Veg,Veg Sandwich ,1,Other,100,Visakhapatnam,100,Student
CUST291,10/2/2024,October,Veg,Masala Dosa ,6,Other,150,Vijayawada,900,Employed
CUST243,10/2/2024,October,Veg,Malai Kofta ,1,Cury,250,Guntur,250,Employed
CUST045,10/2/2024,October,Non-Veg,Chicken Korma ,2,Cury,300,Vijayawada,600,Student
CUST269,10/2/2024,October,Non-Veg,Mutton Curry ,2,Cury,400,Guntur,800,Student
CUST094,10/2/2024,October,Veg,Chole ,2,Cury,200,Rajahmundry,400,Student
CUST218,10/2/2024,October,Non-Veg,Kadai Chicken ,1,Cury,300,Rajahmundry,300,Student
CUST137,10/2/2024,October,Veg,Malai Kofta ,1,Cury,250,Vijayawada,250,Student
CUST120,10/2/2024,October,Non-Veg,Egg Curry ,1,Cury,200,Guntur,200,Student
CUST252,10/2/2024,October,Veg,Bhindi Masala ,2,Cury,200,Vijayawada,400,Employed
CUST294,10/2/2024,October,Non-Veg,Egg Curry ,2,Cury,200,Rajahmundry,400,Student
CUST013,10/2/2024,October,Veg,Pav Bhaji ,3,Other,200,Visakhapatnam,600,Student
CUST078,10/2/2024,October,Veg,Malai Kofta ,2,Cury,250,Tirupati,500,Employed
CUST227,10/2/2024,October,Non-Veg,Egg Curry ,1,Cury,200,Guntur,200,Student
CUST136,10/2/2024,October,Veg,Malai Kofta ,2,Cury,250,Tirupati,500,Student
CUST177,10/2/2024,October,Veg,Chole ,3,Cury,200,Rajahmundry,600,Student
CUST189,10/2/2024,October,Veg,Aloo Paratha ,6,Other,150,Vijayawada,900,Student
CUST286,10/2/2024,October,Veg,Paneer Butter Masala ,2,Cury,250,Tirupati,500,Student
CUST242,10/2/2024,October,Non-Veg,Chicken Biryani ,4,Other,300,Vijayawada,1200,Employed
CUST110,10/2/2024,October,Non-Veg,Chicken Tikka Masala ,3,Cury,300,Guntur,900,Employed
CUST047,10/2/2024,October,Non-Veg,Chicken Wrap ,7,Other,150,Guntur,1050,Student
CUST075,10/2/2024,October,Veg,Chole ,2,Cury,200,Guntur,400,Employed
CUST241,10/2/2024,October,Non-Veg,Chicken Biryani ,5,Other,300,Vijayawada,1500,Employed
CUST212,10/2/2024,October,Non-Veg,Mutton Biryani ,2,Other,410,Vijayawada,820,Employed
CUST109,10/2/2024,October,Veg,Dal Tadka ,1,Cury,200,Rajahmundry,200,Employed
CUST267,10/2/2024,October,Non-Veg,Chicken Tikka Masala ,1,Cury,300,Tirupati,300,Employed
CUST287,10/2/2024,October,Veg,Vegetable Korma ,2,Cury,250,Guntur,500,Student
CUST001,10/2/2024,October,Veg,Veg Biryani ,2,Cury,250,Visakhapatnam,500,Student
CUST264,10/2/2024,October,Veg,Veg Manchurian ,2,Cury,200,Rajahmundry,400,Employed
CUST207,10/2/2024,October,Non-Veg,Mutton Biryani ,5,Other,410,Vijayawada,2050,Student
CUST015,10/2/2024,October,Non-Veg,Chicken Tikka Masala ,2,Cury,300,Guntur,600,Student
CUST167,10/2/2024,October,Non-Veg,Chicken Wrap ,2,Other,150,Visakhapatnam,300,Employed
CUST246,10/2/2024,October,Veg,Dal Makhani ,2,Cury,200,Rajahmundry,400,Employed
CUST031,10/2/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Vijayawada,300,Employed
CUST139,10/2/2024,October,Non-Veg,Chicken Biryani ,5,Other,300,Rajahmundry,1500,Employed
CUST224,10/2/2024,October,Veg,Masala Dosa ,5,Other,150,Guntur,750,Employed
CUST274,10/2/2024,October,Veg,Paneer Tikka Masala ,2,Cury,250,Guntur,500,Employed
CUST241,10/2/2024,October,Veg,Veg Biryani ,1,Cury,250,Rajahmundry,250,Employed
CUST537,10/2/2024,October,Veg,Dal Tadka ,3,Cury,200,Rajahmundry,600,Student
CUST183,10/2/2024,October,Veg,Veg Biryani ,1,Cury,250,Guntur,250,Student
CUST115,10/2/2024,October,Veg,Veg Manchurian ,2,Cury,200,Visakhapatnam,400,Employed
CUST297,10/2/2024,October,Veg,Bhindi Masala ,1,Cury,200,Tirupati,200,Student
CUST170,10/2/2024,October,Veg,Malai Kofta ,3,Cury,250,Vijayawada,750,Student
CUST195,10/2/2024,October,Veg,Baingan Bharta ,1,Cury,200,Visakhapatnam,200,Employed
CUST073,10/2/2024,October,Veg,Bhindi Masala ,1,Cury,200,Vijayawada,200,Employed
CUST159,10/2/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Guntur,300,Employed
CUST006,10/2/2024,October,Veg,Aloo Gobi ,1,Cury,150,Guntur,150,Student
CUST090,10/2/2024,October,Non-Veg,Chicken Tikka Masala ,1,Cury,300,Guntur,300,Student
CUST015,10/2/2024,October,Veg,Veg Manchurian ,1,Cury,200,Visakhapatnam,200,Student
CUST216,10/2/2024,October,Non-Veg,Prawns Fry ,3,Cury,400,Visakhapatnam,1200,Employed
CUST130,10/2/2024,October,Veg,Paneer Butter Masala ,2,Cury,250,Vijayawada,500,Employed
CUST206,10/2/2024,October,Veg,Veg Sandwich ,3,Other,100,Rajahmundry,300,Employed
CUST220,10/2/2024,October,Veg,Bhindi Masala ,1,Cury,200,Visakhapatnam,200,Student
CUST299,10/2/2024,October,Non-Veg,Chicken Wrap ,3,Other,150,Rajahmundry,450,Employed
CUST077,10/2/2024,October,Veg,Veg Manchurian ,2,Cury,200,Guntur,400,Employed
CUST311,10/2/2024,October,Non-Veg,Mutton Biryani ,3,Other,410,Vijayawada,1230,Student
CUST046,10/2/2024,October,Veg,Masala Dosa ,5,Other,150,Vijayawada,750,Student
CUST128,10/3/2024,October,Non-Veg,Rogan Josh ,2,Cury,350,Tirupati,700,Employed
CUST138,10/3/2024,October,Non-Veg,Fish Curry ,1,Cury,350,Vijayawada,350,Employed
CUST053,10/3/2024,October,Non-Veg,Chicken Wrap ,6,Other,150,Guntur,900,Student
CUST094,10/3/2024,October,Veg,Aloo Gobi ,2,Cury,150,Tirupati,300,Student
CUST071,10/3/2024,October,Veg,Chole ,1,Cury,200,Guntur,200,Employed
CUST270,10/3/2024,October,Non-Veg,Chicken Wrap ,7,Other,150,Tirupati,1050,Employed
CUST110,10/3/2024,October,Veg,Pav Bhaji ,3,Other,200,Rajahmundry,600,Employed
CUST160,10/3/2024,October,Non-Veg,Chicken Tikka Masala ,2,Cury,300,Guntur,600,Student
CUST041,10/3/2024,October,Non-Veg,Fish Curry ,3,Cury,350,Rajahmundry,1050,Employed
CUST063,10/3/2024,October,Veg,Malai Kofta ,1,Cury,250,Guntur,250,Student
CUST120,10/3/2024,October,Veg,Veg Sandwich ,3,Other,100,Visakhapatnam,300,Student
CUST291,10/3/2024,October,Non-Veg,Chicken Wrap ,6,Other,150,Guntur,900,Employed
CUST241,10/3/2024,October,Veg,Paneer Butter Masala ,1,Cury,250,Rajahmundry,250,Employed
CUST304,10/3/2024,October,Veg,Veg Biryani ,1,Cury,250,Tirupati,250,Student
CUST251,10/3/2024,October,Veg,Aloo Gobi ,1,Cury,150,Vijayawada,150,Employed
CUST148,10/3/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Vijayawada,300,Student
CUST235,10/3/2024,October,Veg,Baingan Bharta ,1,Cury,200,Guntur,200,Student
CUST129,10/3/2024,October,Veg,Masala Dosa ,5,Other,150,Visakhapatnam,750,Student
CUST150,10/3/2024,October,Non-Veg,Kadai Chicken ,2,Cury,300,Guntur,600,Student
CUST145,10/3/2024,October,Veg,Veg Sandwich ,1,Other,100,Visakhapatnam,100,Employed
CUST212,10/3/2024,October,Non-Veg,Prawns Fry ,1,Cury,400,Tirupati,400,Employed
CUST037,10/3/2024,October,Non-Veg,Chicken Korma ,2,Cury,300,Tirupati,600,Student
CUST063,10/3/2024,October,Non-Veg,Fish Curry ,1,Cury,350,Visakhapatnam,350,Student
CUST074,10/3/2024,October,Veg,Dal Tadka ,1,Cury,200,Guntur,200,Employed
CUST215,10/3/2024,October,Veg,Malai Kofta ,1,Cury,250,Visakhapatnam,250,Student
CUST176,10/3/2024,October,Veg,Bhindi Masala ,2,Cury,200,Visakhapatnam,400,Employed
CUST210,10/3/2024,October,Non-Veg,Rogan Josh ,1,Cury,350,Rajahmundry,350,Student
CUST169,10/3/2024,October,Veg,Bhindi Masala ,1,Cury,200,Tirupati,200,Employed
CUST020,10/3/2024,October,Veg,Veg Biryani ,2,Cury,250,Tirupati,500,Student
CUST323,10/3/2024,October,Veg,Masala Dosa ,2,Other,150,Vijayawada,300,Employed
CUST216,10/3/2024,October,Non-Veg,Fish Curry ,2,Cury,350,Guntur,700,Employed
CUST075,10/3/2024,October,Non-Veg,Chicken Tikka Masala ,2,Cury,300,Tirupati,600,Employed
CUST047,10/3/2024,October,Non-Veg,Rogan Josh ,2,Cury,350,Guntur,700,Student
CUST074,10/3/2024,October,Non-Veg,Prawns Fry ,1,Cury,400,Tirupati,400,Employed
CUST135,10/3/2024,October,Veg,Malai Kofta ,1,Cury,250,Guntur,250,Employed
CUST053,10/3/2024,October,Veg,Masala Dosa ,1,Other,150,Guntur,150,Student
CUST205,10/3/2024,October,Veg,Veg Biryani ,2,Cury,250,Vijayawada,500,Student
CUST047,10/3/2024,October,Veg,Bhindi Masala ,1,Cury,200,Rajahmundry,200,Student
CUST274,10/3/2024,October,Veg,Baingan Bharta ,2,Cury,200,Rajahmundry,400,Employed
CUST246,10/3/2024,October,Veg,Dal Tadka ,2,Cury,200,Rajahmundry,400,Employed
CUST189,10/3/2024,October,Veg,Aloo Paratha ,4,Other,150,Vijayawada,600,Student
CUST177,10/3/2024,October,Non-Veg,Chicken Tikka Masala ,1,Cury,300,Guntur,300,Student
CUST230,10/3/2024,October,Veg,Pav Bhaji ,1,Other,200,Vijayawada,200,Student
CUST041,10/3/2024,October,Non-Veg,Fish Curry ,2,Cury,350,Visakhapatnam,700,Employed
CUST065,10/3/2024,October,Non-Veg,Chicken Biryani ,3,Other,300,Rajahmundry,900,Employed
CUST259,10/3/2024,October,Non-Veg,Mutton Curry ,3,Cury,400,Vijayawada,1200,Employed
CUST094,10/3/2024,October,Veg,Veg Sandwich ,3,Other,100,Rajahmundry,300,Student
CUST059,10/3/2024,October,Non-Veg,Chicken Wrap ,5,Other,150,Visakhapatnam,750,Student
CUST234,10/3/2024,October,Veg,Dal Makhani ,2,Cury,200,Vijayawada,400,Employed
CUST170,10/3/2024,October,Veg,Dal Tadka ,3,Cury,200,Guntur,600,Student
CUST306,10/3/2024,October,Veg,Veg Sandwich ,6,Other,100,Rajahmundry,600,Employed
CUST272,10/3/2024,October,Veg,Dal Tadka ,2,Cury,200,Vijayawada,400,Student
CUST037,10/3/2024,October,Veg,Paneer Tikka Masala ,3,Cury,250,Rajahmundry,750,Student
CUST295,10/3/2024,October,Non-Veg,Egg Curry ,1,Cury,200,Vijayawada,200,Employed
CUST269,10/3/2024,October,Veg,Baingan Bharta ,1,Cury,200,Guntur,200,Student
CUST232,10/3/2024,October,Non-Veg,Chicken Tikka Masala ,1,Cury,300,Rajahmundry,300,Employed
CUST027,10/3/2024,October,Non-Veg,Fish Curry ,1,Cury,350,Vijayawada,350,Employed
CUST240,10/3/2024,October,Veg,Malai Kofta ,2,Cury,250,Vijayawada,500,Employed
CUST294,10/3/2024,October,Non-Veg,Rogan Josh ,1,Cury,350,Tirupati,350,Student
CUST107,10/3/2024,October,Veg,Chole ,1,Cury,200,Tirupati,200,Student
CUST195,10/3/2024,October,Veg,Dal Tadka ,1,Cury,200,Visakhapatnam,200,Employed
CUST249,10/3/2024,October,Veg,Pav Bhaji ,1,Other,200,Rajahmundry,200,Student
CUST046,10/3/2024,October,Veg,Aloo Gobi ,3,Cury,150,Visakhapatnam,450,Student
CUST244,10/3/2024,October,Veg,Paneer Tikka Masala ,2,Cury,250,Vijayawada,500,Employed
CUST315,10/3/2024,October,Non-Veg,Chicken Tikka Masala ,1,Cury,300,Visakhapatnam,300,Employed
CUST034,10/3/2024,October,Non-Veg,Egg Curry ,1,Cury,200,Guntur,200,Student
CUST319,10/3/2024,October,Veg,Veg Biryani ,2,Cury,250,Vijayawada,500,Employed
CUST226,10/3/2024,October,Non-Veg,Egg Curry ,3,Cury,200,Vijayawada,600,Employed
CUST113,10/3/2024,October,Veg,Vegetable Korma ,1,Cury,250,Guntur,250,Employed
CUST185,10/3/2024,October,Non-Veg,Chicken Korma ,1,Cury,300,Visakhapatnam,300,Employed
